n,M(n),M_total,omega,f
113,3.5771629990263001329716421452849962513053239024692e-32,1.6724955120232300416386725834865737238144518755419e-27,133290105704528.61513034012342106789386450100999607,21213779188116.965601325886112599906387477905098972
114,8.6529890364449138859562464117232757555254815258328e-32,1.6725820419135944907775321459506909565720071303572e-27,133286657823611.99616406652496325482928707185000897,21213230440825.893477821368801013883892879993546002
115,7.5398382897407674270199419574212575616686734676932e-32,1.6726574402964918984518023453702651691476238170918e-27,133283653708282.22657394702176723683323678712618582,21212752321021.542508315848279206119163811460482821
116,2.8613791290474196925806547092212708957583491822542e-32,1.6726860540877823726487281519173573818565814005836e-27,133282513695501.45578381394212190546912057309270334,21212570882352.294899858883275204279832902018206978
117,-5.1074326223775265907583534951249718774666951064509e-33,1.6726809466551599951221373935638622568847039338885e-27,133282717180493.66532206274563643303570991320156852,21212603267994.650063684610942591283374209124739123
118,-3.5683557679194824604086339669393553368168840869432e-32,1.6726452630974808002975333072241928633313357650477e-27,133284138873504.63455373432376535087294013326599781,21212829537464.905017082658047311035116593506635854
119,-6.4292533638757945217035031841093185729671029368912e-32,1.6725809705638420423523162721923517701456060940183e-27,133286700511113.38189617096776181291240290715587447,21213237234752.74725921773764120782855045417605238
120,-8.0938241565849241516990378343319007984594780425632e-32,1.6725000323222761931107992818140084511376214992379e-27,133289925581499.27614949854879272401173780738918911,21213750520646.481616036106396449926347398684825952
121,-2.6074725776162362543270140311851719531404203822823e-32,1.6724739575965000307482560116736965994180900950341e-27,133290964606560.43862670248017574874290507687939964,21213915886620.961983166104705922488704060612225732
122,1.5549703193886288149358915793388474293381563587552e-34,1.6724741130935319696111375052628545333028330288497e-27,133290958410246.33723669173600328914237712000375554,21213914900446.943796930359071062790507972406977479
123,3.7566479140359673464188210437813232623128686124099e-32,1.6725116795726723292846016934732923465354561575358e-27,133289461469989.53084165719132957929228088935790676,21213676655005.559807939075447727506778883848497022
124,4.6584714234183558899863248201445657621441956624356e-32,1.6725582642869065128435015567214937921930775994924e-27,133287605243261.35407723073329581404372771286411121,21213381227346.271179924409111373087926269094661396
125,7.9626275977923468964378583889947000326480405321836e-32,1.6726378905628844363124659353053837391934040798978e-27,133284432613365.40572216418660327506418277498754741,21212876287615.729873653290538469483936013442260554
126,2.8254035902368837347728116467084161018543372237447e-32,1.67266614459878680514981366342185082335442262327e-27,133283306913817.02601210713943253038287323414599887,21212697126968.168928618831434993222764503301058972
127,3.1093544438388927166002597771840869608584209252334e-33,1.6726692539532306440425302636816280074413834816909e-27,133283183032411.82344595680417576226558360893602003,21212677410630.173770176394486811113949831115955523
128,-3.7988345320642955666598879060371018463901686952714e-32,1.672631265607910001086863664802567636422919580004e-27,133284696569477.15159361508445695831497119464554828,21212918297535.673545790060649531675591197534026166
129,-3.6408931258198557987999982828010952341499821828491e-32,1.6725948566766518025288756648197396254705780801821e-27,133286147227694.67597481530490896254563149541383342,21213149176961.729429005077300588562527989238462206
130,-7.1177348001829934161848414673728969879131639327469e-32,1.6725236793286499725947138164050658965006989485428e-27,133288983317153.59096372362333059650971491693448692,21213600554618.166568299723935988248928817353706583
131,-3.3834050118205195178559443980009757413692655641463e-32,1.6724898452785317673995352569610858867432852558872e-27,133290331511687.37624783511494394336164945147202108,21213815126442.467969556091161743835968554156343158
132,-4.6872321183376275827615993350887518560765226183546e-33,1.6724851580464134297719524953617507979914291793645e-27,133290518288318.00501089161507547634226160408649492,21213844852866.486586295694356917840585388496946274
133,3.5247237517360468629211362583295008032063663461543e-32,1.672520405283930790240581706724334092999461243028e-27,133289113777110.01668734063146646300661123752502192,21213621317965.107275487222755499285896916193608614
134,3.3785787492995046410831017000141109452091579831581e-32,1.6725541910714237852869925377413342341089133346078e-27,133287767542578.67691484108682055174691406711113616,21213407058084.883549607143625587816176762762936938
135,5.8043043949671703256848039139313908936707245728405e-32,1.6726122341153734569902493857804735480178500418536e-27,133285454844300.42790254128563083711127904497938569,21213038980722.020103729950655973016570291017211414
136,4.018547420762751408482429888738333384168394758446e-32,1.6726524195895810845043342100793609313516917258012e-27,133283853743164.33257093538725293347332882761152014,21212784157561.820482259146379417049506557982605207
137,5.400114702414559790705474165823044536746316136877e-33,1.6726578197042834990641249155535267543962284721173e-27,133283638591962.8629143645122312064424151412959114,21212749915184.594426159479057025564520979172860728
138,-2.951046133646338381585434204006416966793613691466e-32,1.6726283092429470356803090612114866902265605359804e-27,133284814359553.62730321864411483632488062579682459,21212937044408.591827351527717309020171112941706851
139,-3.6287158851524628467880481057831805279007791188564e-32,1.6725920220840955110518411807304288584212815281892e-27,133286260169690.01247880882162265226308282396764021,21213167152238.569895406568581264027017031294723969
140,-4.4140304783283446270472480785277096706829244930249e-32,1.6725478817793122276055707082496435813245746989443e-27,133288018940663.12447834766928178716060807219236909,21213447069332.707213074904600374184006596081204946
141,-4.4490673080994476168869055290639532515385583435478e-32,1.6725033911062312331294018391943529417920593133608e-27,133289791742521.56151464931892971116481017777553426,21213729219511.599965878615353487475075086053355697
142,-6.3687782613939524826878525823084405395005087866371e-33,1.672497022327969839176919151341770633351519812852e-27,133290045522441.24133147515257064337382414973494963,21213769609840.274472894711724657183678637656188505
143,2.2227252277526863117674267168511021132773461912877e-32,1.6725192495802473660400368256089391443726525863139e-27,133289159828207.2403835086068642718268390945390563,21213628647224.865232190128095433186109688928366213
144,4.0333352502225194433386108106040166492202036978946e-32,1.6725595829327495912344702117170451845391447883509e-27,133287552701282.27496628649890184720267151002565675,21213372865030.580908466779373656323821387653166061
145,3.3237125742770215782327740264161630537971501054823e-32,1.672592820058492361450252539457309346169682759852e-27,133286228375031.30131158735775779863113059468157751,21213162091961.472093353135111699785092329777458903
146,4.485414257327665663369387308438511791510349232259e-32,1.6726376742010656381068862333303937312875978633443e-27,133284441233780.26601897369864805927110648294338947,21212877659597.366392720889563865456994156903690237
147,8.389573133267833955575914111849973105116543258997e-33,1.6726460637741989059408418092445055812607029798876e-27,133284106972697.29367108139679077694511320407765879,21212824460293.728093387059877006169891566651332517
148,-1.5209629156647759699254256958103869876608069676881e-32,1.6726308541450422581811425549875474773908263718179e-27,133284712963321.60570159182132568126231268914770689,21212920906697.054696729054704304743183047709194448
149,-4.2654697589321541425325364905169109418439624336269e-32,1.6725881994474529366397172296226423082814079321935e-27,133286412479939.22130291878940993314913683981550364,21213191393167.61503820437961743470601480886016757
150,-2.7615282952559753882410167298189925602767907487597e-32,1.6725605841645003768858348194553441183558051642861e-27,133287512806838.09628252960027777501433562711382436,21213366515632.587967258292034151259240219977534366
151,-4.0974029763068429981854429613774742285520265268403e-32,1.6725196101347373084558529650257303436135196440208e-27,133289145461258.31627642926019587391930685010304245,21213626360653.926811760993424723687853254339012993
152,-1.1524286713230936011856976889377339932745873502517e-32,1.6725080858480240775198411080488409662735868981473e-27,133289604669705.50829698286653410772373963111982009,21213699445948.206975416700088386877707625444591345
153,9.808616211358240745311217613507640637167796230534e-33,1.6725178944642354357605864192664544739142240659435e-27,133289213825309.06859325784219614244443730458890213,21213637241130.533828190362738912861466510416925947
154,4.1372412808916390569728210916095476309430399173438e-32,1.6725592668770443521511561474773705693905334963427e-27,133287565294644.52907354361692540134341949202865561,21213374869326.433796530054679412637992814116345139
155,2.7446325884394378250793259437955124290545375353354e-32,1.672586713202928746529406940736808524514824041718e-27,133286471698440.45862649750660358649470296598085303,21213200818084.809451772077842312586438777468570252
156,3.4153513063222819638342447467932209262098255171862e-32,1.6726208667159919693490452831842764567240861399732e-27,133285110892599.41049317941435735767662550293473197,21212984239108.618317343901093516621795843896902422
157,1.507934879744283466368202912986323702468159636716e-32,1.6726359460647894121837089652134063199611108215696e-27,133284510087262.40013760225842181029243475662163169,21212888617969.397127203432804499659514139246031208
158,-6.4816594010050118532444366188902182105584976713466e-33,1.6726294644053884071718557207767874297429002630719e-27,133284768334524.94850409531051365220037805296640507,21212929719297.77165022628089729247977283102226929
159,-3.6385724991623318394457183030229231727728579875329e-32,1.672593078680396783853461263593757200511172534492e-27,133286218070450.95014780777648618735868130362562458,21213160451936.572718018940862214940643118495889517
160,-3.1006520650795282012536188987295219021419117366729e-32,1.6725620721597459885714487274047699052921511153747e-27,133287453517191.16220887293055239250347338147949984,21213357079392.204236198694337169722033132946629316
161,-2.6700322892685934837275998648430645630562299150615e-32,1.6725353718368533026366114514061214746465205530755e-27,133288517412132.71788023375254462424324277405262591,21213526403531.083284388329769163859967588283317368
